id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
74,Korter 2,66.3,4.9,170900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-2/,3,4,2577.68
75,Korter 3,84.3,4.3,199900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-3/,4,4,2371.29
76,Korter 4,47.6,4.3,126900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-4/,2,4,2665.97
77,Korter 5,90.7,30.3,231900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-5/,4,4,2556.78
78,Korter 6,82.9,32.3,218900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-6/,4,4,2640.53
79,Korter 7,65.1,4.9,167900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-7/,3,4,2579.11
80,Korter 8,45.7,4.9,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-8/,2,4,0
81,Korter 9,44.3,5.5,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-9/,2,5,0
82,Korter 10,66.3,4.9,173900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-10/,3,5,2622.93
83,Korter 11,84.3,4.3,202900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-11/,4,5,2406.88
84,Korter 12,47.6,4.3,128900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-12/,2,5,2707.98
85,Korter 13,90.7,4.6,215900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-13/,4,5,2380.37
86,Korter 14,82.6,4.9,201900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-14/,4,5,2444.31
